ID,QUANTITY,VARIANT_ID,PRICE,ORDER_ID
3ee6171d9cf82f95462df02383a1dc4a,2,15323b4eb1f44d4981fc3fc2d0ba1267,40,0e312d5ac2ad56ddcb91e2284d2a51dd
48d5681982c06c5db232bce309dc53d8,1,e03762bef92d46cde0331c3ae5fa15ca,498,0e312d5ac2ad56ddcb91e2284d2a51dd
476a6a90a870d72d6b8c08679c3a5221,1,f434b16490b4180a59d8d34b9bf061c1,60,0e312d5ac2ad56ddcb91e2284d2a51dd
8b6e3092917241a95c2578ea75158905,2,17b06055339968d07a7fe99c0fbed296,87,9fa5e25388d6d9c34b7b16c95914c9ff
ab24883af5615ca9e18063a56b5996fc,3,df4fcd2110e51624865b076c8f70c022,127,9fa5e25388d6d9c34b7b16c95914c9ff
b03100a570f93c39673321eb531d0c3c,1,8f9e7aaad60eaee1e85ad66442ab775e,298,9fa5e25388d6d9c34b7b16c95914c9ff
9ae779df458208a2e8f7dbe133c06fd6,2,28990fb4df3e6af9f9bea042f3501a92,148,71597b5b41fe4533b01fd9cf7eb8ac5d
104d663ac8ec6d1313f5ceaf96b48827,1,2f52588a9e9d62defc7e40ecc0543846,65,c16fca37baa5be4ba3614d60386e3867
e8714c9e4a391a052c29ffd61c2cdbe7,3,2cc001ce4dfee1c33c12c8ddc9c467eb,1163,090e60d6a47370da1f15fd3b0f7d0f6f
1da35f7c4121bf184d1d2d3ebfc64c6e,2,0f36375ffe8fa71c8097626255c2ec32,31,090e60d6a47370da1f15fd3b0f7d0f6f
6e70d3c5853f8f6f47e5eacacbfdca48,2,18f3e16eb584c2f9d4cef1bd824659de,41,f336d90196ce5bbc57a726311c7faa7b
f0022803ee10b08fe1b4185f7be61d09,3,e1a0bb3e7d687cc6b768277c5aadd0b3,105,c2d9470dee7cd9ff525de10cee527a87
037851603b36768d56b4daa0b3b6bf92,1,2f52588a9e9d62defc7e40ecc0543846,65,fb6868d0a5c68562a7a2375d41fbd6ac
b856afafec276cafd071c0e72869dfe4,3,1d48f98c572e6edf0cd6b62946b6de32,254,6573b50ea553885c71196f7b59fdca44
da02bf20f2d4b179659398f0b16b61f2,2,0f36375ffe8fa71c8097626255c2ec32,31,aeb49968f82cce8a86997a0918ac5c33
08bf37a50a37bda46e2bcc879b2ba971,2,d81b85fe3376576665fa4a0a5fb6f214,605,aeb49968f82cce8a86997a0918ac5c33
4df5e060c62c2a93f277e2673168354f,1,2f52588a9e9d62defc7e40ecc0543846,65,a9f79853a5047d14f85f25d3ec8ed4ec
f74c57087a07d2e88ddd55104b4c5adb,2,ec0d59a537139a379155f1b52a177161,292,b120d675687075ed1ab164bbfb5be92f
